ID,Product,Job Nº,Date,Time,Tested By,Ambiant Temp (ºC),RH (%),Part Temp (ºC),1,2,3,4,5,6,7,8,Notes,Shear Min,Shear Max
1,BOLT M6X8.5 DH BLACK,MIS35669,26/07/2021,10:38:00,HeathHammond-Noack,17.5,22,24.3,5.032,5.365,5.471,5.505,5.75,5.71,5.558,5.624,Concessional Release Form -BOLT M6X8.5 DH BLACK - 26.07.21 ,4,5
2,BOLT M6X8.5 DH BLACK,MIS35676,26/07/2021,12:39:00,HeathHammond-Noack,20.8,21,23,6.116,5.391,5.305,5.777,5.391,5.312,5.471,5.471,Concessional Release Form -BOLT M6X8.5 DH BLACK - 26.07.21 ,4,5
3,BOLT M6X8.5 BLACK-RED,MIS12680,6/01/2020,08:10:00,Garry,28,57,,4.153,4.625,4.043,4.142,4.01,4.421,4.613,,,4,5
4,BOLT M6X8.5 BLACK-RED,MIS12680,6/01/2020,10:10:00,Garry,28,57,,4.126,4.374,4.188,4.348,4.175,3.818,4.07,4.123,,4,5
5,BOLT M6X8.5 BLACK-RED,MIS12680,6/01/2020,12:30:00,Garry,28,57,,4.024,4.182,3.971,4.169,4.248,3.997,4.172,4.288,,4,5
6,BOLT M6X8.5 BLACK-RED,MIS12751,7/01/2020,08:00:00,Garry,26,66,,4.024,4.553,3.977,4.361,4.202,4.083,4.037,4.188,,4,5
7,BOLT M6X8.5 BLACK-RED,MIS12751,7/01/2020,10:00:00,Garry,26,66,,4.116,4.09,4.09,4.44,4.441,4.467,4.374,3.987,,4,5
8,BOLT M6X8.5 BLACK-RED,MIS12751,7/01/2020,12:30:00,Garry,26,66,,4.315,4.188,4.421,4.015,4.248,4.083,4.136,4.287,,4,5
9,BOLT M6X8.5 BLACK-RED,MIS12758,8/01/2020,08:00:00,Garry,27,59,,4.021,4.281,4.627,4.394,4.215,4.188,4.387,4.308,,4,5
10,BOLT M6X8.5 BLACK-RED,MIS12758,8/01/2020,10:00:00,Garry,27,59,,3.859,4.156,4.215,4.188,3.924,4.381,4.221,4.48,,4,5
11,BOLT M6X8.5 BLACK-RED,MIS12758,8/01/2020,12:30:00,Garry,27,59,,4.09,4.017,3.971,4.165,4.237,4.308,4.454,4.328,,4,5
12,BOLT M6X8.5 BLACK-RED,MIS12741,8/01/2020,16:00:00,AndrewKolsteeg,21,52,,4.1,4.7,4.8,4.6,4,5,4.8,4.2,,4,5
13,BOLT M6X8.5 BLACK-RED,MIS12741,8/01/2020,20:00:00,AndrewKolsteeg,21,52,,4.3,4.3,4.1,4.7,4.9,4.3,4.4,4.9,,4,5
14,BOLT M6X8.5 BLACK-RED,MIS12807,9/01/2020,08:00:00,Garry,27,67,,4.54,4.429,4.321,3.957,4.275,4.374,4.208,4.394,,4,5
15,BOLT M6X8.5 BLACK-RED,MIS12807,9/01/2020,10:00:00,Garry,27,67,,4.169,4.196,4.136,4.328,4.288,4.348,4.122,4.315,,4,5
16,BOLT M6X8.5 BLACK-RED,MIS12807,9/01/2020,12:30:00,Garry,27,67,,3.938,4.328,4.09,4.248,4.275,4.169,4.07,4.095,,4,5
17,BOLT M6X8.5 BLACK-RED,MIS12837,9/01/2020,19:00:00,Garry,27,66,,4.215,4.6,4.46,4.627,4.58,4.358,4.388,4.501,,4,5
18,BOLT M6X8.5 BLACK-RED,MIS12837,9/01/2020,21:00:00,Garry,27,66,,4.348,4.513,4.563,4.518,4.305,4.324,4.348,4.109,,4,5
19,BOLT M6X8.5 BLACK-RED,MIS12839,10/01/2020,09:00:00,Garry,31,60,,4.074,3.927,4.221,4.255,4.221,4.275,4.123,4.136,,4,5
20,BOLT M6X8.5 BLACK-RED,MIS12839,11/01/2020,11:00:00,Garry,31,60,,4.248,4.136,4.281,3.927,4.149,4.129,4.028,4.361,,4,5
21,BOLT M6X8.5 BLACK-RED,MIS12839,11/01/2020,12:00:00,Garry,31,60,,4.024,4.09,4.315,4.124,4.268,4.116,4.315,4.223,,4,5
